mirna,target_gene,target_ensemble_id,mirna_key,mirna_ensamble_id
rno-miR-99a-5p,Fgf16,ENSRNOG00000061530,99a,ENSRNOG00000035524
rno-miR-214-3p,Fgf16,ENSRNOG00000061530,214,ENSRNOG00000035513
rno-miR-331-3p,Fgf16,ENSRNOG00000061530,331,ENSRNOG00000035543
rno-miR-322-5p,Fgf16,ENSRNOG00000061530,322,ENSRNOG00000064087
rno-miR-494-3p,Fgf16,ENSRNOG00000061530,494,ENSRNOG00000036244
rno-miR-214-3p,Fgfr1,ENSRNOG00000016050,214,ENSRNOG00000035513
rno-miR-23a-3p,Gad1,ENSRNOG00000000007,23a,ENSRNOG00000035644
rno-miR-290,Gmfb,ENSRNOG00000064480,290,ENSRNOG00000056469
rno-miR-290,Gnb1,ENSRNOG00000016638,290,ENSRNOG00000056469
rno-miR-290,Golph3,ENSRNOG00000012186,290,ENSRNOG00000056469
rno-miR-214-3p,Gpd1,ENSRNOG00000056457,214,ENSRNOG00000035513
rno-miR-494-3p,Hmox1,ENSRNOG00000014117,494,ENSRNOG00000036244
rno-miR-27a-3p,Hyou1,ENSRNOG00000010944,27a,ENSRNOG00000035597
rno-miR-292-5p,Hyou1,ENSRNOG00000010944,292,ENSRNOG00000060727
rno-miR-21-5p,Kcnj16,ENSRNOG00000004713,21,ENSRNOG00000035480
rno-miR-292-5p,Kcnj16,ENSRNOG00000004713,292,ENSRNOG00000060727
rno-miR-342-3p,Kcnj16,ENSRNOG00000004713,342,ENSRNOG00000035612
rno-miR-290,Klf15,ENSRNOG00000017808,290,ENSRNOG00000056469
rno-miR-292-5p,Madd,ENSRNOG00000012568,292,ENSRNOG00000060727
rno-miR-290,Mapk1,ENSRNOG00000001849,290,ENSRNOG00000056469
rno-miR-290,Mapre1,ENSRNOG00000011798,290,ENSRNOG00000056469
rno-miR-290,Mgst1,ENSRNOG00000007743,290,ENSRNOG00000056469
rno-miR-292-5p,Mgst1,ENSRNOG00000007743,292,ENSRNOG00000060727
rno-miR-125a-5p,Mmp9,ENSRNOG00000017539,125a,ENSRNOG00000035572
rno-miR-132-3p,Mmp9,ENSRNOG00000017539,132,ENSRNOG00000035516
rno-miR-290,Mmp9,ENSRNOG00000017539,290,ENSRNOG00000056469
rno-miR-30a-5p,Neurod1,ENSRNOG00000005609,30a,ENSRNOG00000035646
rno-miR-383-5p,Neurod1,ENSRNOG00000005609,383,ENSRNOG00000035589
rno-miR-290,Nr4a1,ENSRNOG00000007607,290,ENSRNOG00000056469
rno-miR-290,Ogt,ENSRNOG00000003359,290,ENSRNOG00000056469
rno-miR-290,Ptp4a2,ENSRNOG00000050044,290,ENSRNOG00000056469
rno-miR-214-3p,Scn3a,ENSRNOG00000005007,214,ENSRNOG00000035513
rno-miR-223-3p,Scn3a,ENSRNOG00000005007,223,ENSRNOG00000035505
rno-miR-494-3p,Scn3a,ENSRNOG00000005007,494,ENSRNOG00000036244
rno-miR-327,Slc17a7,ENSRNOG00000020650,327,ENSRNOG00000059368
rno-miR-290,Ssr3,ENSRNOG00000011148,290,ENSRNOG00000056469
rno-miR-298-5p,Stx1a,ENSRNOG00000029165,298,ENSRNOG00000035566
rno-miR-497-5p,Stx1a,ENSRNOG00000029165,497,ENSRNOG00000036260
rno-miR-30a-5p,Syt4,ENSRNOG00000017333,30a,ENSRNOG00000035646
rno-miR-30e-5p,Syt4,ENSRNOG00000017333,30e,ENSRNOG00000035640
rno-miR-292-5p,Syt4,ENSRNOG00000017333,292,ENSRNOG00000060727
rno-miR-34a-5p,Tagln,ENSRNOG00000017628,34a,ENSRNOG00000035623
rno-miR-98-5p,Tagln,ENSRNOG00000017628,98,ENSRNOG00000035656
rno-miR-139-5p,Tagln,ENSRNOG00000017628,139,ENSRNOG00000035601
rno-miR-204-5p,Tagln,ENSRNOG00000017628,204,ENSRNOG00000035472
rno-miR-290,Tagln,ENSRNOG00000017628,290,ENSRNOG00000056469
rno-miR-485-5p,Tagln,ENSRNOG00000017628,485,ENSRNOG00000036249
rno-let-7b-5p,Tagln,ENSRNOG00000017628,let7b,ENSRNOG00000035636
rno-miR-21-5p,Tpm1,ENSRNOG00000018184,21,ENSRNOG00000035480
rno-miR-293-5p,Tpm1,ENSRNOG00000018184,293,ENSRNOG00000057453
rno-miR-185-5p,Vim,ENSRNOG00000018087,185,ENSRNOG00000035585
rno-miR-223-3p,Vim,ENSRNOG00000018087,223,ENSRNOG00000035505
rno-let-7b-5p,Vim,ENSRNOG00000018087,let7b,ENSRNOG00000035636
rno-let-7i-5p,Vim,ENSRNOG00000018087,let7i,ENSRNOG00000035642
rno-miR-25-3p,Vsnl1,ENSRNOG00000005345,25,ENSRNOG00000035531
rno-miR-290,Vsnl1,ENSRNOG00000005345,290,ENSRNOG00000056469
rno-miR-494-3p,Vsnl1,ENSRNOG00000005345,494,ENSRNOG00000036244
rno-miR-98-5p,Ccnd2,ENSRNOG00000062959,98,ENSRNOG00000035656
rno-miR-27a-3p,Thrb,ENSRNOG00000006649,27a,ENSRNOG00000035597
rno-miR-206-3p,Tppp,ENSRNOG00000028261,206,ENSRNOG00000035498
rno-miR-146a-5p,Snap25,ENSRNOG00000006037,146a,ENSRNOG00000035466
rno-miR-21-5p,Faslg,ENSRNOG00000002978,21,ENSRNOG00000035480
